1903-12-03,HOC,OSCA,11,6,1562,1544,0.523,0.103,0.374,6,5,44.1,-44.1,175,175
1903-12-18,HOC,OSCA,2,9,1553,1447,0.645,0.092,0.263,6,4,-77.0,77.0,165,165
1904-02-14,DTV,BKC,23,0,1530,900,0.971,0.014,0.015,9,1,5.1,-5.1,175,175
1904-04-30,DEV,DTV,11,9,1642,1678,0.458,0.081,0.461,9,10,20.0,-24.5,175,195
1904-05-01,DEV,BKC,3,12,1634,1010,0.971,0.012,0.017,12,3,-117.1,179.8,161,196
1904-05-12,HOC,DTV,8,8,1578,1613,0.455,0.090,0.455,6,7,0.0,-0.0,199,179
1904-06-05,Quick,HOC,1,15,1350,1579,0.207,0.083,0.711,4,6,-36.4,40.2,175,185
1904-06-19,OSCA,HOC,7,5,1651,1643,0.510,0.101,0.389,6,5,24.7,-18.3,209,175
1904-06-19,Quick,DEV,2,4,1338,1529,0.248,0.084,0.668,5,7,-0.2,-0.0,168,175
1904-07-03,DTV,OSCA,8,4,1637,1675,0.450,0.090,0.460,7,8,43.0,-46.9,180,189
1904-07-03,HOC,Quick,9,1,1624,1336,0.834,0.057,0.109,7,3,18.4,-17.4,166,161
1904-07-17,BKC,OSCA,2,9,1201,1628,0.076,0.041,0.884,4,9,-15.4,11.9,213,175
1904-09-11,HOC,DTV,7,7,1643,1681,0.452,0.089,0.459,7,8,0.5,-0.5,181,186
1904-09-11,OSCA,Quick,11,7,1641,1320,0.858,0.051,0.091,7,3,0.0,-0.4,186,177
1904-09-25,DTV,DEV,9,3,1680,1529,0.708,0.070,0.222,10,7,24.5,-28.9,174,192
1904-09-25,HOC,OSCA,3,6,1644,1641,0.503,0.100,0.396,6,5,-39.6,44.6,170,181
1904-10-09,DEV,Quick,4,9,1500,1320,0.736,0.075,0.189,7,4,-90.4,87.9,180,178
1904-10-09,OSCA,DTV,6,8,1685,1705,0.477,0.089,0.434,9,8,-23.7,23.0,169,167
1904-10-23,DEV,OSCA,1,9,1410,1662,0.187,0.074,0.739,4,8,-29.7,26.1,172,160
1904-10-23,DTV,HOC,17,9,1728,1605,0.673,0.076,0.250,9,6,30.6,-33.2,158,166
1904-10-30,BKC,DEAK,5,5,1188,1222,0.455,0.090,0.455,7,8,0.0,-0.0,228,175
1904-11-04,DTV,Quick,6,7,1754,1403,0.881,0.039,0.080,11,5,-51.0,67.8,153,174
1904-11-04,OSCA,DEV,5,3,1684,1376,0.851,0.050,0.099,8,4,-18.4,21.1,155,165
1904-11-13,HOC,DTV,1,8,1563,1700,0.317,0.084,0.600,7,9,-36.4,32.3,162,151
1904-11-13,OSCA,DTV,1,2,1645,1732,0.381,0.089,0.530,7,8,-2.1,2.0,145,142
1904-11-13,OSCA,Quick,2,1,1662,1468,0.749,0.075,0.176,7,4,-17.0,21.5,153,170